user_id,median_page_clicks,num_sessions,median_session_duration_seconds,total_booked_trips,num_cancelled_trips,num_no_booking,num_not_completed_trips,num_completed_trips,num_round_trip_flights,num_one_way_flights,total_flights_booked,total_hotels_booked,median_flight_discount_amount,median_flight_base_price,median_flight_spent,median_hotel_spent,median_hotel_discount_amount,median_checked_bags,median_seats_booked,median_rooms,median_days_until_departure,median_days_until_checkin,median_days_stay_flight,median_night_stay_hotel,num_times_travelled_from_homeairport,num_times_travelled_to_homeairport,num_times_travelled_from_outside_homeairport,num_times_expensive_hotel_booked,num_times_expensive_flight_booked,num_weekend_trip,num_holiday_season_trip,avg_distance_flown,gender,age,married,has_children,home_country,group,perk
23557,9.0,8,69.5,2,0,6,0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1835.25,0.25,0.0,0.0,1.5,0.0,12.815833333333334,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,65.0,1,0,1,1,Complimentary Room Upgrade
94883,5.0,8,37.5,2,0,6,0,2.0,2.0,0.0,4.0,2.0,0.0,432.04499999999996,743.63,115.0,0.0,0.5,1.5,1.5,7.15175925925926,7.310804571759259,1.5,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1451.335403701944,1,52.0,1,0,1,3,Exclusive Discount
101486,19.5,8,146.0,2,0,6,0,2.0,1.0,0.0,2.0,2.0,0.0,189.91,189.91,1099.5,0.0,0.0,1.0,1.5,9.039837962962963,7.904566145833334,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,995.681599782712,1,51.0,1,1,1,3,Exclusive Discount
101961,18.0,8,133.0,5,0,3,0,5.0,5.0,0.0,10.0,5.0,0.1,129.9,129.9,504.0,0.0,0.0,1.0,1.0,5.762928240740741,5.8671063657407405,5.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1366.5690966548457,1,43.0,1,0,1,3,Exclusive Discount
106907,19.0,8,143.5,1,1,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,45.0,1,1,1,1,20% off on first trip
118043,18.0,8,137.0,5,0,3,0,5.0,3.0,0.0,6.0,4.0,0.2,727.68,871.9,866.6,0.05,1.0,2.0,1.0,9.587800925925926,9.485882957175926,3.0,6.5,3.0,0.0,0.0,1.0,0.0,0.0,1.0,2505.1651664071746,1,52.0,0,1,1,3,only_hotel_discount
120851,6.0,8,44.5,1,0,7,0,1.0,1.0,0.0,2.0,1.0,0.0,384.68,384.68,2002.0,0.0,0.0,1.0,1.0,7.5012847222222225,7.701796701388889,12.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2259.7966681958487,1,51.0,1,1,1,3,Exclusive Discount
125845,17.0,9,128.0,3,0,6,0,3.0,3.0,0.0,6.0,3.0,0.15,543.54,543.54,183.0,0.0,1.0,1.0,1.0,8.923946759259259,9.165315509259258,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2861.519128720754,1,40.0,1,0,1,3,Exclusive Discount
133058,6.0,8,45.0,1,0,7,0,1.0,1.0,0.0,2.0,0.0,0.0,423.51,423.51,0.0,0.0,0.0,1.0,0.0,6.493530092592593,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2887.178515652686,1,19.0,0,0,1,3,Exclusive Discount
149058,20.0,8,148.5,5,0,3,0,5.0,5.0,0.0,10.0,5.0,0.05,461.8,461.8,357.0,0.0,0.0,1.0,1.0,7.016435185185185,7.2529523726851854,8.0,6.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1959.872031578899,1,51.0,0,1,1,3,Exclusive Discount
